Security,LOPBDY LME Comdty,Unnamed: 2,returns,MA7,MA30,rolling_volatility,return_7d,future_return,future_MA7,future_MA30,future_rolling_volatility,future_return_7d
2025-10-24 00:00:00,1979.0,0.3,-0.004026170105686955,1989.0,1993.2666666666667,0.007583527080638904,-0.005527638190954774,-0.003951592985922403,2022.7857142857142,2021.1333333333334,0.006395222298425143,-0.003459352606869286
2025-10-23 00:00:00,1973.0,1.02,-0.003031834259727084,1985.857142857143,1993.6333333333334,0.007476796278325124,-0.011027568922305764,-0.0029754525167369206,2020.4285714285713,2021.0166666666667,0.006308423527264838,-0.008140108534780463
2025-10-22 00:00:00,1953.0,0.21,-0.010136847440446073,1979.142857142857,1993.3666666666666,0.00771181134014806,-0.0235,-0.009947774185525948,2016.642857142857,2020.7333333333333,0.006425100430270214,-0.013138324243926624
2025-10-21 00:00:00,1949.0,0.57,-0.0020481310803891484,1973.857142857143,1992.8333333333333,0.007708678187783313,-0.01863041289023162,-0.0027631248430042277,2011.357142857143,2020.4,0.0064342858256797334,-0.018298714144411473
2025-10-20 00:00:00,1938.0,0.1,-0.005643919958953303,1965.142857142857,1992.5666666666666,0.007572795572792638,-0.030515257628814407,0.0017632241813601013,2005.9285714285713,2019.95,0.00640792094776984,-0.018751542067604245
2025-10-17 00:00:00,1936.0,-0.21,-0.0010319917440660964,1959.2857142857142,1991.9333333333334,0.007521096099042219,-0.020738492665655032,-0.009303495096806613,1997.9285714285713,2019.6,0.006331440981409554,-0.027640671273445213
2025-10-16 00:00:00,1940.0,-0.59,0.0020661157024792765,1952.5714285714287,1991.9333333333334,0.0074010331113744205,-0.02365374937091092,-0.002284263959390853,1989.5,2018.9,0.006313501585047566,-0.02914299827117807
2025-10-15 00:00:00,1951.5,0.59,0.005927835051546371,1948.642857142857,1992.0833333333333,0.007451685016923119,-0.013895907023749368,0.00864919867718128,1984.642857142857,2019.0,0.0064901913921983434,-0.01686089759484255
2025-10-14 00:00:00,1940.0,-0.84,-0.005892902895208829,1943.9285714285713,1991.3666666666666,0.00739618548974208,-0.016725798276735936,-0.00025220680958382147,1980.5714285714287,2019.05,0.0064899166893144615,-0.014175578214374533
2025-10-13 00:00:00,1956.5,-1.09,0.008505154639175228,1944.4285714285713,1991.25,0.007569471573158138,0.0017921146953405018,0.003531786074671972,1980.357142857143,2019.2166666666667,0.006514009410446616,-0.0007535795026375283
2025-10-10 00:00:00,1978.0,-0.7,0.01098901098901095,1948.5714285714287,1991.2833333333333,0.007672404546819613,0.014879425346331451,0.015837104072398134,1985.4285714285713,2020.3833333333334,0.0071197849326624036,0.017884130982367758
2025-10-09 00:00:00,1992.0,1.27,0.00707785642062686,1956.2857142857142,1991.25,0.007637845887610612,0.02786377708978328,0.004701806483543569,1991.357142857143,2021.0333333333333,0.006800406107155295,0.020870002514458134
2025-10-08 00:00:00,1967.0,-0.1,-0.012550200803212896,1960.7142857142858,1990.35,0.007973323104596756,0.016012396694214875,-0.01379310344827589,1995.9285714285713,2020.6,0.0072607286636159896,0.016243654822335026
2025-10-07 00:00:00,1969.0,0.05,0.0010167768174884628,1964.857142857143,1988.9166666666667,0.007777651948593661,0.014948453608247423,0.004495504495504399,2002.4285714285713,2020.1833333333334,0.007266705152688044,0.02314932587127957
2025-10-06 00:00:00,1968.0,-0.86,-0.000507872016251909,1967.2142857142858,1987.05,0.007675791820815332,0.008455034588777863,-0.003232222774738891,2005.5714285714287,2019.0833333333333,0.007160269831114461,0.011097099621689786
2025-10-03 00:00:00,1985.0,-0.13,0.008638211382113736,1973.642857142857,1984.6833333333334,0.00723629541004535,0.023195876288659795,0.007732601646295745,2011.0,2017.6166666666666,0.006875852847772769,0.01917255297679112
2025-10-02 00:00:00,1987.5,1.51,0.0012594458438286438,1978.0714285714287,1982.3166666666666,0.007236789134840879,0.015844620495783286,0.001980198019801982,2016.0,2015.8166666666666,0.006750504149918407,0.017596782302664656
2025-10-01 00:00:00,1958.0,0.05,-0.014842767295597525,1975.2142857142858,1979.45,0.0075876109578388385,-0.010111223458038422,-0.006669960474308345,2014.5714285714287,2012.9833333333333,0.0065958971464672245,-0.004949269982677555
2025-09-30 00:00:00,1957.0,0,-0.0005107252298263143,1970.2142857142858,1976.7833333333333,0.007579496717855531,-0.017570281124497992,-0.010942551604078532,2008.642857142857,2010.4833333333333,0.006322769803100169,-0.020443349753694582
2025-09-29 00:00:00,1957.0,-0.03,0.0,1968.7857142857142,1973.9,0.007536470548911567,-0.005083884087442806,0.003268795574553618,2007.642857142857,2008.3666666666666,0.00637045726446059,-0.0034965034965034965
2025-09-26 00:00:00,1957.5,-0.41,0.00025549310168626604,1967.142857142857,1970.9833333333333,0.007532274596277575,-0.005840528186896902,0.003759398496240518,2006.4285714285713,2006.8833333333334,0.00636817668282087,-0.004226752859273993
2025-09-25 00:00:00,1965.5,0.33,0.004086845466155786,1966.7857142857142,1969.8166666666666,0.006539301189695375,-0.0012703252032520325,0.006491885143570464,2008.0,2006.35,0.006363474182057745,0.0054876527812422055
2025-09-24 00:00:00,1959.0,0.72,-0.0033070465530399273,1963.0714285714287,1968.35,0.006548552088083865,-0.01309823677581864,-0.007938476804763117,2005.0714285714287,2005.6666666666667,0.006443415156377572,-0.010148514851485149
2025-09-23 00:00:00,1945.0,-0.97,-0.007146503318019359,1957.0,1966.85,0.006569556179707467,-0.021383647798742137,0.0012503125781444524,2001.9285714285713,2004.95,0.006438716783107617,-0.010869565217391304
